"rep","mode","conv","nll","secs","alpha0_2","alpha0_3","alpha0_4","alpha0_5","alpha1_1","alpha1_2","og_E","log_c_bar","K_mean"
27,"zK",0,3274.56151597338,127.482150793076,-0.382115495790782,-0.648025573578382,0.507185793084766,0.765971844147843,1.47904065615658,-0.95406238434883,2.45537296955163,-0.71206513328017,1.655
27,"znext",0,3199.40855797345,134.983412027359,-0.392507708227704,-0.679778076853857,0.521934110670374,0.78931677991662,1.53365201397501,-0.985121304839849,2.56004185577313,-0.596740836290695,1.655
28,"zK",0,3109.41498879532,132.728516101837,-0.435124845908568,-0.801679802204203,0.497085817503905,0.829390433371761,1.57330927039816,-0.969174312557956,2.65987560432118,-0.71152744270826,1.602
28,"znext",0,3041.964280344,131.406080007553,-0.455271843913746,-0.817956167754157,0.515786290028891,0.854252563627151,1.60750366440074,-1.00998660358644,2.74941525579706,-0.606087874742484,1.602
29,"zK",0,3109.36891796783,135.153081893921,-0.480314798204629,-0.769495861931716,0.474856608152864,0.848043257401966,1.58268073699776,-1.1475338485162,2.90432419443595,-0.699020575457024,1.603
29,"znext",0,3019.1019865123,135.938461065292,-0.502138517415715,-0.805848769635349,0.49403483828982,0.875073789261495,1.63956596822699,-1.18023921754658,3.01481176032301,-0.560011939241952,1.603
30,"zK",0,3156.16234297527,132.527829885483,-0.514668482038807,-0.830675429186055,0.437064582740802,0.798002758463088,1.46835180847285,-1.07611511581524,2.66057348750982,-0.624528811054766,1.584
30,"znext",0,3071.15068308862,124.635723114014,-0.556775449247621,-0.870883402553407,0.442714697198029,0.813805136185458,1.51551274020586,-1.10255473601813,2.74398312933886,-0.502721483244158,1.584
31,"zK",0,3095.06321965856,125.659703969955,-0.472545207960559,-0.798747485710191,0.560871125932038,0.815785077383649,1.49709995147049,-0.959123330602077,2.3198909920489,-0.644817165886679,1.595
31,"znext",0,3017.22479046816,137.908708095551,-0.487245441284994,-0.840698621439598,0.581924667180155,0.836890406605296,1.55062735834234,-0.991726493768458,2.42510652964306,-0.533806860760879,1.595
32,"zK",0,3183.60618106884,138.462698936462,-0.373997400976537,-0.779576419607599,0.51677822371737,0.817343220991571,1.44627322942461,-0.930513851790991,2.28816421465827,-0.654535452037524,1.625
32,"znext",0,3091.85037505732,132.338554143906,-0.39726870943189,-0.819375209060362,0.529987725478216,0.846270998097481,1.49344573087112,-1.00396754845545,2.4242252612443,-0.521753894892459,1.625
33,"zK",0,3072.91167582742,126.357007980347,-0.558074247651328,-0.76045291847323,0.458209154022711,0.807340096169542,1.52793891806301,-1.0025228130741,2.59976119596754,-0.697348329672164,1.588
33,"znext",0,2991.65626780848,183.008051872253,-0.58108351354001,-0.790381040786321,0.465265160292312,0.831215408889503,1.56495974657198,-1.04279394326896,2.6840903581507,-0.567498382885762,1.588
34,"zK",0,3225.15849449454,199.205051898956,-0.442682851644404,-0.731263939358491,0.38836191844249,0.79438698485767,1.37023412387211,-1.0831326368182,2.25052824225176,-0.677128002322091,1.651
34,"znext",0,3155.27553437458,136.149408817291,-0.454391658440245,-0.756528866724238,0.40025492122056,0.815140456374519,1.4035880158694,-1.10712576774511,2.3152260912583,-0.570341304775009,1.651
35,"zK",0,3121.10574115373,129.466932058334,-0.48105815044235,-0.900451804764464,0.544929275754596,0.789582188444224,1.46492618229723,-1.09851707206364,2.61167531604698,-0.715903991203097,1.605
35,"znext",0,3049.79140154439,141.708521842957,-0.498192512479898,-0.923470566051355,0.556732315384686,0.805423071763295,1.50029613169817,-1.138461030921,2.69535696521117,-0.607472443849749,1.605
36,"zK",0,3134.30620775712,137.361129999161,-0.471604281661892,-0.888430604951552,0.467685903390875,0.783005388938216,1.57471028690097,-0.995263264595198,2.6284061174506,-0.692178700759067,1.612
